,Neighborhood,Lat,Lon,sale_price_sqr_foot,housing_units,gross_rent
0,Alamo Square,37.791012,-122.4021,,,
1,Anza Vista,37.779598,-122.443451,,,
2,Bayview,37.73467,-122.40106,,,
3,Bayview Heights,37.72874,-122.41098,,,
4,Bernal Heights,37.72863,-122.44305,,,
5,Buena Vista Park,37.76816,-122.43933,,,
6,Central Richmond,37.77789,-122.44517,,,
7,Central Sunset,37.74961,-122.48999,,,
8,Clarendon Heights,37.75331,-122.44703,,,
9,Corona Heights,37.78553,-122.456,,,
10,Cow Hollow,37.79298,-122.43579,,,
11,Croker Amazon,37.7228,-122.43869,,,
12,Diamond Heights,37.72863,-122.44305,,,
13,Downtown,37.79101,-122.4021,,,
14,Duboce Triangle,37.76964,-122.42611,,,
15,Eureka Valley/Dolores Heights,37.75554,-122.43779,,,
16,Excelsior,37.72874,-122.41098,,,
17,Financial District North,37.79101,-122.4021,,,
18,Financial District South,37.79101,-122.4021,,,
19,Forest Knolls,37.75706,-122.45509,,,
20,Glen Park,37.72863,-122.44305,,,
21,Golden Gate Heights,37.757912,-122.46402,,,
22,Haight Ashbury,37.76525,-122.43596,,,
23,Hayes Valley,37.76525,-122.43596,,,
24,Hunters Point,37.72551,-122.37178,,,
25,Ingleside,37.721161,-122.487068,,,
26,Ingleside Heights,37.72116,-122.48707,,,
27,Inner Mission,37.75416,-122.41947,,,
28,Inner Parkside,37.74961,-122.48999,,,
29,Inner Richmond,37.769112,-122.483566,,,
30,Inner Sunset,37.74961,-122.48997,,,
31,Jordan Park/Laurel Heights,37.78553,-122.456,,,
32,Lake --The Presidio,37.80152,-122.45457,,,
33,Lone Mountain,37.7789,-122.45496,,,
34,Lower Pacific Heights,37.79298,-122.43579,,,
35,Marina,37.79972,-122.46689,,,
36,Merced Heights,37.71993,-122.46595,,,
37,Midtown Terrace,37.75331,-122.44703,,,
38,Miraloma Park,37.73415,-122.457,,,
39,Mission Bay,37.78323,-122.40065,,,
40,Mission Dolores,37.75184,-122.42522,,,
41,Mission Terrace,37.72863,-122.44305,,,
42,Nob Hill,37.79298,-122.43579,,,
43,Noe Valley,37.75331,-122.44703,,,
44,North Beach,37.80055,-122.40433,,,
45,North Waterfront,37.80055,-122.40433,,,
46,Oceanview,37.71993,-122.46595,,,
47,Outer Mission,37.7228,-122.43869,,,
48,Outer Parkside,37.7517,-122.446,,,
49,Outer Richmond,37.76911,-122.48357,,,
50,Outer Sunset,37.74961,-122.48999,,,
51,Pacific Heights,37.79298,-122.43579,,,
52,Park North,37.72838,-122.47851,,,
53,Parkside,37.74961,-122.48999,,,
54,Parnassus/Ashbury Heights,37.76355,-122.45765,,,
55,Portola,37.73467,-122.40106,,,
56,Potrero Hill,37.73196,-122.38324,,,
57,Presidio Heights,37.78553,-122.456,,,
58,Russian Hill,37.79298,-122.43579,,,
59,Silver Terrace,37.73467,-122.40106,,,
60,South Beach,37.78323,-122.40065,,,
61,South of Market,37.79101,-122.4021,,,
62,Sunnyside,37.73415,-122.457,,,
63,Telegraph Hill,37.80055,-122.40433,,,
64,Twin Peaks,37.753311,-122.447029,,,
65,Union Square District,37.79101,-122.4021,,,
66,Van Ness/ Civic Center,37.77951,-122.42022,,,
67,Visitacion Valley,37.72874,-122.41098,,,
68,West Portal,37.74026,-122.46388,,,
69,Western Addition,37.79298,-122.43579,,,
70,Westwood Highlands,37.7347,-122.456854,,,
71,Westwood Park,37.73415,-122.457,,,
72,Yerba Buena,37.79298,-122.39636,,,
Alamo Square,,,,366.0207115322765,378401.0,2817.285714285714
Anza Vista,,,,373.382197826477,379050.0,3031.8333333333335
Bayview,,,,204.58862288246596,376454.0,2318.4
Bayview Heights,,,,590.7928388746803,382295.0,3739.0
Bernal Heights ,,,,576.7464881132382,379374.5,3080.3333333333335
Buena Vista Park,,,,452.6805909308441,378076.5,2698.8333333333335
Central Richmond,,,,394.42239878005887,378401.0,2817.285714285714
Central Sunset,,,,423.68792770158234,378401.0,2817.285714285714
Clarendon Heights,,,,487.2448860262576,376454.0,2250.5
Corona Heights,,,,587.5390673661739,377232.8,2472.0
Cow Hollow,,,,665.9640415783227,378401.0,2817.285714285714
Croker Amazon,,,,303.0041844084943,378076.5,2698.8333333333335
Diamond Heights,,,,434.9917394452212,375480.5,2016.0
Downtown ,,,,391.43437776742576,378401.0,2817.285714285714
Duboce Triangle,,,,502.59915555623616,378401.0,2780.25
Eureka Valley/Dolores Heights,,,,642.2486706357391,378401.0,2817.285714285714
Excelsior,,,,388.7659270023075,379050.0,3031.8333333333335
Financial District North,,,,391.36253308010487,378401.0,2817.285714285714
Financial District South,,,,455.83621223779153,377232.8,2472.0
Forest Knolls,,,,321.8408365739874,374507.0,1781.5
Glen Park,,,,623.8261775374349,378725.5,2899.5
Golden Gate Heights,,,,639.3935574881156,377622.2,2601.4
Haight Ashbury,,,,449.5447622856192,378401.0,2817.285714285714
Hayes Valley,,,,355.93282794805776,378401.0,2817.285714285714
Hunters Point,,,,170.62491987132685,377427.5,2489.0
Ingleside ,,,,367.8951440852775,377427.5,2509.0
Ingleside Heights,,,,384.7979281346047,379374.5,2960.0
Inner Mission,,,,397.67371473613446,378401.0,2817.285714285714
Inner Parkside,,,,519.3856038526768,379861.25,3224.0
Inner Richmond,,,,378.5943139613646,378401.0,2817.285714285714
Inner Sunset,,,,413.66751546215943,378401.0,2817.285714285714
Jordan Park/Laurel Heights,,,,529.3841850673388,378401.0,2817.285714285714
Lake --The Presidio,,,,409.95435219297514,377427.5,2555.1666666666665
Lone Mountain,,,,478.2285530213679,377427.5,2555.1666666666665
Lower Pacific Heights,,,,539.237968878326,378401.0,2817.285714285714
Marina,,,,583.7492694814548,378401.0,2817.285714285714
Merced Heights,,,,788.8448175872469,380348.0,3414.0
Midtown Terrace,,,,550.5103482917151,377427.5,2647.5
Miraloma Park,,,,779.810842264425,375967.25,2155.25
Mission Bay,,,,566.1922135483312,377752.0,2663.6666666666665
Mission Dolores,,,,418.9156225067234,377427.5,2555.1666666666665
Mission Terrace,,,,523.4662013248023,379569.2,3173.4
Nob Hill,,,,458.2040944846015,378401.0,2817.285714285714
Noe Valley,,,,542.4429128151736,378401.0,2817.285714285714
North Beach,,,,411.646875881678,379179.8,2990.8
North Waterfront,,,,498.2697550078768,378401.0,2818.4
Oceanview,,,,330.0973846552545,377103.0,2434.0
Outer Mission,,,,242.37095202049665,379374.5,2995.75
Outer Parkside,,,,485.0270126111035,378401.0,2817.285714285714
Outer Richmond ,,,,473.90077331796317,378401.0,2817.285714285714
Outer Sunset,,,,394.21903228550775,378401.0,2817.285714285714
Pacific Heights,,,,689.5558168113664,378401.0,2817.285714285714
Park North,,,,373.73285637176303,378401.0,2817.285714285714
Parkside,,,,336.172661037069,377427.5,2555.1666666666665
Parnassus/Ashbury Heights,,,,632.740453508577,378401.0,2817.285714285714
Portola,,,,327.11392534647274,376454.0,2318.4
Potrero Hill,,,,662.0136128276529,378401.0,2817.285714285714
Presidio Heights,,,,675.3502120510033,378401.0,2817.285714285714
Russian Hill,,,,608.9832172374425,378401.0,2817.285714285714
Silver Terrace,,,,170.2925485152069,380348.0,3528.0
South Beach,,,,650.1244791945729,375805.0,2099.0
South of Market,,,,570.2714266991686,378401.0,2817.285714285714
Sunnyside,,,,528.3183317138463,378725.5,2899.5
Telegraph Hill,,,,676.5065775293257,378401.0,2817.285714285714
Twin Peaks,,,,469.39862649935156,378401.0,2817.285714285714
Union Square District,,,,903.9932576720645,377427.5,2555.1666666666665
Van Ness/ Civic Center,,,,404.1501801622257,378401.0,2817.285714285714
Visitacion Valley,,,,301.46617997450267,381321.5,3657.0
West Portal,,,,498.4884848295011,376940.75,2515.5
Western Addition,,,,307.5622009799607,377427.5,2555.1666666666665
Westwood Highlands,,,,533.7039354359513,376454.0,2250.5
Westwood Park,,,,687.0875745178322,382295.0,3959.0
Yerba Buena,,,,576.709848378276,377427.5,2555.1666666666665
